timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration
2024-06-03T00:00:39.031279Z,10.0.0.45,91.189.91.7,2439,5555,TCP,1,77,0.207233
2024-06-03T00:01:07.270725Z,10.0.0.50,185.220.101.4,9872,4444,TCP,2,114,3.578521
2024-06-03T00:02:36.751470Z,10.0.0.42,104.16.132.229,27771,10000,TCP,2,86,0.240427
2024-06-03T00:03:19.198153Z,10.0.0.42,198.41.0.4,6910,9001,TCP,1,243,0.575786
2024-06-03T00:04:28.140951Z,10.0.0.49,104.16.132.229,54124,2323,UDP,8,1474,0.453421
2024-06-03T00:05:22.628569Z,10.0.0.46,45.155.205.233,42072,1337,TCP,11,2265,0.44674
2024-06-03T00:06:12.310388Z,10.0.0.47,45.155.205.233,39320,10000,TCP,4,388,0.264103
2024-06-03T00:07:34.087066Z,10.0.0.50,104.16.132.229,44166,4444,TCP,7,583,2.397182
2024-06-03T00:08:05.857524Z,10.0.0.41,198.41.0.4,62943,31337,TCP,13,4274,0.201907
2024-06-03T00:09:15.767077Z,10.0.0.48,45.155.205.233,22608,1234,TCP,2,339,0.436296
2024-06-03T00:10:42.498362Z,10.0.0.43,185.220.101.4,40188,4444,TCP,18,896,3.029154
2024-06-03T00:11:45.245601Z,10.0.0.42,45.155.205.233,65119,5555,TCP,3,145,1.39215
2024-06-03T00:12:53.948317Z,10.0.0.47,91.189.91.7,26070,1234,TCP,10,582,3.448727
2024-06-03T00:13:50.734844Z,10.0.0.50,198.41.0.4,16362,9001,TCP,3,451,0.818839
2024-06-03T00:15:07.639858Z,10.0.0.49,185.220.101.4,45664,2323,UDP,3,847,0.222673
2024-06-03T00:16:27.576673Z,10.0.0.41,45.155.205.233,60574,8081,TCP,6,277,3.569744
2024-06-03T00:16:53.556449Z,10.0.0.45,91.189.91.7,62744,8081,TCP,4,789,1.088347
2024-06-03T00:17:55.114874Z,10.0.0.48,198.41.0.4,38099,10000,TCP,1,96,0.441616
2024-06-03T00:18:20.944916Z,10.0.0.42,104.16.132.229,10709,31337,UDP,3,306,0.406301
2024-06-03T00:19:32.987585Z,10.0.0.50,198.41.0.4,40865,8081,TCP,6,1097,0.275401
