timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration
2024-06-03T00:00:00.238327Z,10.0.0.10,10.0.1.65,11158,10856,TCP,1,49,0.013633
2024-06-03T00:00:00.669304Z,10.0.0.12,10.0.0.61,9705,23,TCP,2,191,0.035229
2024-06-03T00:00:00.686783Z,10.0.0.12,10.0.1.44,18844,111,TCP,2,189,0.030988
2024-06-03T00:00:00.940770Z,10.0.0.11,10.0.0.46,53124,443,TCP,2,87,0.001151
2024-06-03T00:00:01.195781Z,10.0.0.12,10.0.1.90,22648,53,TCP,2,107,0.017021
2024-06-03T00:00:01.364620Z,10.0.0.10,10.0.1.55,39183,27017,TCP,2,139,0.012057
2024-06-03T00:00:01.415172Z,10.0.0.11,10.0.0.60,42512,54319,TCP,1,46,0.003262
2024-06-03T00:00:02.240231Z,10.0.0.12,10.0.1.73,38797,25674,TCP,2,154,0.058243
2024-06-03T00:00:02.243976Z,10.0.0.11,10.0.1.6,1214,8080,TCP,2,87,0.007017
2024-06-03T00:00:02.738346Z,10.0.0.12,10.0.1.66,60813,993,UDP,1,48,0.012907
2024-06-03T00:00:03.189491Z,10.0.0.12,10.0.0.32,28914,1521,TCP,1,41,0.004227
2024-06-03T00:00:03.302664Z,10.0.0.11,10.0.1.12,21886,30405,TCP,1,43,0.031584
2024-06-03T00:00:03.921698Z,10.0.0.10,10.0.0.18,38067,53,TCP,2,86,0.061312
2024-06-03T00:00:04.189755Z,10.0.0.10,10.0.1.65,10989,3389,TCP,1,43,0.001959
2024-06-03T00:00:04.618276Z,10.0.0.12,10.0.1.74,20812,5900,TCP,2,95,0.012725
2024-06-03T00:00:04.622798Z,10.0.0.11,10.0.1.29,13116,22,TCP,2,109,0.181044
2024-06-03T00:00:05.362491Z,10.0.0.10,10.0.1.69,15154,10774,TCP,2,129,0.018363
2024-06-03T00:00:05.605883Z,10.0.0.12,10.0.0.7,25529,995,TCP,1,41,0.001323
2024-06-03T00:00:05.624219Z,10.0.0.10,10.0.0.50,49346,6379,TCP,1,44,0.116701
2024-06-03T00:00:05.658053Z,10.0.0.11,10.0.0.84,17672,27467,TCP,2,135,0.037067
2024-06-03T00:00:05.904731Z,10.0.0.10,10.0.0.92,36383,1521,TCP,2,110,0.006644
2024-06-03T00:00:06.509350Z,10.0.0.12,10.0.0.99,62828,111,TCP,1,75,0.09047
2024-06-03T00:00:06.846613Z,10.0.0.11,10.0.0.31,32373,58122,TCP,2,181,0.029146
2024-06-03T00:00:07.068384Z,10.0.0.11,10.0.1.11,18967,3389,UDP,1,83,0.007503
2024-06-03T00:00:07.199002Z,10.0.0.11,10.0.0.35,59611,56232,TCP,1,90,0.065269
2024-06-03T00:00:07.759704Z,10.0.0.10,10.0.0.70,28209,143,TCP,1,53,0.003472
2024-06-03T00:00:07.920381Z,10.0.0.11,10.0.0.41,40207,22,TCP,1,40,0.017488
2024-06-03T00:00:08.654979Z,10.0.0.12,10.0.1.90,36393,80,TCP,1,85,0.011203
2024-06-03T00:00:08.989100Z,10.0.0.11,10.0.0.6,20586,27017,TCP,1,57,0.003095
2024-06-03T00:00:09.581299Z,10.0.0.10,10.0.1.77,6485,161,TCP,1,57,0.00255
2024-06-03T00:00:10.728312Z,10.0.0.10,10.0.1.14,7615,8443,TCP,2,82,0.004422
2024-06-03T00:00:10.932064Z,10.0.0.10,10.0.1.67,58564,995,TCP,2,122,0.108555
2024-06-03T00:00:10.965202Z,10.0.0.10,10.0.1.20,1494,995,TCP,1,80,0.010558
2024-06-03T00:00:11.281851Z,10.0.0.12,10.0.0.83,40529,58723,TCP,2,166,0.00159
2024-06-03T00:00:11.364955Z,10.0.0.11,10.0.0.68,64895,8468,TCP,2,141,0.001036
2024-06-03T00:00:11.396299Z,10.0.0.12,10.0.0.76,45786,29340,TCP,1,42,0.147829
2024-06-03T00:00:11.417724Z,10.0.0.11,10.0.1.83,61229,21,UDP,1,42,0.051732
2024-06-03T00:00:11.678173Z,10.0.0.11,10.0.1.28,2571,7174,TCP,2,143,0.023176
2024-06-03T00:00:11.752970Z,10.0.0.12,10.0.1.78,14091,43936,TCP,2,114,0.161939
2024-06-03T00:00:12.121391Z,10.0.0.12,10.0.0.72,32794,57994,TCP,2,145,0.174625
2024-06-03T00:00:12.459843Z,10.0.0.10,10.0.1.40,17188,58216,TCP,2,110,0.005005
