timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration
2024-06-03T02:06:39.879126Z,10.0.0.60,13.107.0.88,17894,443,TCP,3311,1729687,58.46216
2024-06-03T02:30:40.304320Z,10.0.0.15,8.8.8.68,62801,443,TCP,17615,15822378,87.311391
2024-06-03T05:30:15.921617Z,10.0.0.74,140.82.0.59,16604,4433,TCP,3446,4808527,50.319177
2024-06-03T00:11:58.504823Z,10.0.0.90,172.217.0.154,23431,443,TCP,3914,2527203,308.272
2024-06-03T05:02:37.476042Z,10.0.0.6,104.16.0.86,7443,4433,TCP,1907,1700933,56.183111
2024-06-03T01:31:01.225674Z,10.0.0.31,198.41.0.217,22969,443,TCP,1120,1282223,284.646731
2024-06-03T03:37:40.551706Z,10.0.0.38,157.240.0.208,16685,8443,TCP,9891,7249791,633.617557
2024-06-03T03:23:32.287659Z,10.0.0.74,157.240.0.102,18079,443,TCP,16305,10330257,103.521782
2024-06-03T00:41:01.010450Z,10.0.0.50,185.199.0.65,64092,8443,TCP,4633,2718119,644.412927
2024-06-03T00:05:28.108618Z,10.0.0.82,157.240.0.195,6448,443,TCP,658,641067,99.787668
2024-06-03T02:51:32.619575Z,10.0.0.48,157.240.0.9,40856,8443,TCP,1329,1156331,181.594358
2024-06-03T04:02:40.781357Z,10.0.0.92,91.189.0.205,63399,443,TCP,1598,1036678,11.052218
2024-06-03T02:04:32.830025Z,10.0.0.90,104.16.0.46,31812,993,TCP,14942,8649239,17.778752
2024-06-03T04:42:38.232792Z,10.0.0.52,1.1.1.69,30116,443,TCP,501,269194,17.344109
2024-06-03T00:07:27.586752Z,10.0.0.25,198.41.0.131,55784,443,TCP,3059,3650025,339.105948
2024-06-03T03:10:10.737456Z,10.0.0.3,198.41.0.19,12500,443,TCP,10913,7841028,633.187118
2024-06-03T05:12:09.137285Z,10.0.0.32,198.41.0.16,25844,4433,TCP,788,417423,14.897859
2024-06-03T03:17:13.682956Z,10.0.0.95,20.99.0.39,37064,443,TCP,4244,5323339,34.183936
2024-06-03T03:25:30.029614Z,10.0.0.45,20.99.0.14,63495,443,TCP,763,1007893,65.490933
2024-06-03T03:23:09.330761Z,10.0.0.78,104.16.0.17,64648,8443,TCP,3255,3276378,582.449337
2024-06-03T02:43:21.354332Z,10.0.0.74,20.99.0.196,64352,443,TCP,638,738809,348.607509
2024-06-03T02:56:28.368801Z,10.0.0.33,172.217.0.204,22723,443,TCP,926,514369,11.070169
2024-06-03T02:45:24.554809Z,10.0.0.37,91.189.0.140,45982,443,TCP,6499,9120239,624.299476
2024-06-03T01:08:08.564397Z,10.0.0.7,157.240.0.68,36561,8443,TCP,2967,3444108,13.608154
2024-06-03T05:16:30.666742Z,10.0.0.78,185.199.0.138,49804,8443,TCP,9244,7188069,135.037418
2024-06-03T04:05:48.619564Z,10.0.0.95,91.189.0.24,65060,4433,TCP,15982,11080049,100.308522
2024-06-03T05:43:10.982634Z,10.0.0.48,1.1.1.209,62177,443,TCP,705,556508,164.577401
2024-06-03T00:18:05.291776Z,10.0.0.9,140.82.0.163,53918,443,TCP,1343,840248,25.797919
2024-06-03T05:06:22.579135Z,10.0.0.40,185.199.0.240,51860,8443,TCP,2539,1346239,489.817144
2024-06-03T03:28:54.189343Z,10.0.0.56,185.199.0.134,29720,443,TCP,4816,3299599,479.104719
2024-06-03T01:49:06.420838Z,10.0.0.56,172.217.0.128,28942,4433,TCP,16967,14703676,96.311668
2024-06-03T01:52:40.577220Z,10.0.0.79,91.189.0.224,25883,443,TCP,11751,11048318,611.343666
2024-06-03T03:34:08.570130Z,10.0.0.61,13.107.0.143,12787,443,TCP,6200,3245475,54.547824
2024-06-03T03:40:40.491277Z,10.0.0.11,185.199.0.106,4973,443,TCP,1144,1085591,22.068462
2024-06-03T00:01:36.426856Z,10.0.0.11,20.99.0.100,1073,443,TCP,2064,2026594,281.688519
2024-06-03T04:23:01.483199Z,10.0.0.15,1.1.1.203,28568,443,TCP,2285,1277551,548.908644
2024-06-03T03:42:13.407812Z,10.0.0.65,185.199.0.113,40105,4433,TCP,10630,9137310,59.280162
2024-06-03T02:35:43.700315Z,10.0.0.42,140.82.0.218,5912,4433,TCP,815,687159,247.089062
2024-06-03T03:53:58.655481Z,10.0.0.64,157.240.0.250,7099,443,TCP,1867,1823228,11.431565
2024-06-03T00:29:16.572504Z,10.0.0.84,104.18.0.130,17911,443,TCP,6945,4822992,311.0124
2024-06-03T03:37:59.900265Z,10.0.0.9,151.101.0.185,12641,4433,TCP,3028,2912723,29.619741
2024-06-03T00:02:32.893733Z,10.0.0.79,104.18.0.161,63951,4433,TCP,3865,2166620,367.845469
2024-06-03T00:23:08.711221Z,10.0.0.32,104.16.0.21,10311,443,TCP,3342,1815180,253.906704
2024-06-03T00:45:20.520281Z,10.0.0.46,1.1.1.247,28199,443,TCP,1484,1536174,178.551692
2024-06-03T02:04:53.397580Z,10.0.0.42,1.1.1.10,14250,443,TCP,9962,7095605,18.396896
2024-06-03T05:50:00.992039Z,10.0.0.93,91.189.0.241,62960,8443,TCP,14672,13549642,97.560911
2024-06-03T04:37:07.811428Z,10.0.0.68,20.99.0.109,42826,4433,TCP,2526,2754838,209.625328
2024-06-03T00:08:09.785345Z,10.0.0.8,13.107.0.241,29107,993,TCP,13894,12972492,72.126633
2024-06-03T00:34:39.937195Z,10.0.0.96,8.8.8.86,64946,443,TCP,9142,10926286,23.247186
2024-06-03T02:27:09.521445Z,10.0.0.68,185.199.0.178,34868,8443,TCP,777,480640,634.383546
2024-06-03T00:09:29.811842Z,10.0.0.20,91.189.0.42,51755,443,TCP,1452,1781521,12.353087
2024-06-03T03:37:40.041702Z,10.0.0.81,91.189.0.2,17813,443,TCP,1783,1122551,23.749478
2024-06-03T05:24:44.600228Z,10.0.0.59,13.107.0.9,53219,443,TCP,7713,7356128,859.541765
2024-06-03T01:47:51.038958Z,10.0.0.55,172.217.0.194,33646,443,TCP,17462,15994875,12.266276
2024-06-03T04:08:12.051498Z,10.0.0.36,140.82.0.15,58215,443,TCP,546,426943,23.591342
2024-06-03T03:07:16.354437Z,10.0.0.81,91.189.0.87,29939,443,TCP,12199,15680912,13.566161
2024-06-03T05:50:44.180922Z,10.0.0.22,104.18.0.59,61899,443,TCP,2372,1629934,355.08754
2024-06-03T00:41:06.433873Z,10.0.0.3,151.101.0.137,14983,443,TCP,3562,4999413,83.266143
2024-06-03T01:59:40.345588Z,10.0.0.88,91.189.0.151,28203,4433,TCP,1661,1477507,384.397197
2024-06-03T05:22:14.709210Z,10.0.0.41,157.240.0.13,40933,443,TCP,1120,982109,402.547995
2024-06-03T03:40:17.332292Z,10.0.0.72,13.107.0.13,26153,443,TCP,13481,7421146,80.694154
2024-06-03T01:39:48.720837Z,10.0.0.83,140.82.0.131,23821,8443,TCP,575,547692,13.413659
2024-06-03T01:52:01.679422Z,10.0.0.58,185.199.0.105,48768,443,TCP,7128,4674949,254.710679
2024-06-03T05:20:59.053526Z,10.0.0.14,198.41.0.97,25761,443,TCP,959,888047,11.434629
2024-06-03T04:03:24.980460Z,10.0.0.26,104.16.0.144,15625,8443,TCP,687,536597,67.069906
2024-06-03T02:32:17.587384Z,10.0.0.21,157.240.0.185,49512,8443,TCP,16658,14838271,462.653362
2024-06-03T05:26:23.138358Z,10.0.0.83,91.189.0.38,5944,443,TCP,579,633636,29.641387
2024-06-03T00:46:10.571345Z,10.0.0.19,1.1.1.133,52133,4433,TCP,800,1101306,467.120392
2024-06-03T03:25:10.886611Z,10.0.0.72,198.41.0.247,33010,4433,TCP,4788,2454946,136.554912
2024-06-03T04:41:28.896494Z,10.0.0.76,91.189.0.186,10583,443,TCP,15447,9085022,455.299579
2024-06-03T05:26:56.787629Z,10.0.0.85,185.199.0.118,55032,443,TCP,11669,13086613,40.204988
2024-06-03T05:44:48.102222Z,10.0.0.3,140.82.0.207,52670,443,TCP,15695,17195437,89.621104
2024-06-03T02:03:39.222582Z,10.0.0.41,140.82.0.214,55272,443,TCP,2005,1762125,165.553039
2024-06-03T00:50:59.483138Z,10.0.0.86,1.1.1.152,3248,443,TCP,1942,2522472,176.925772
2024-06-03T03:58:59.031245Z,10.0.0.20,8.8.8.67,24043,443,TCP,902,1059343,477.717957
2024-06-03T02:28:26.066918Z,10.0.0.20,151.101.0.242,17811,8443,TCP,1694,1055649,192.464189
2024-06-03T05:48:45.177180Z,10.0.0.24,13.107.0.226,16131,8443,TCP,14990,9752471,198.679372
2024-06-03T04:10:22.234635Z,10.0.0.21,20.99.0.93,8332,443,TCP,13664,12511540,631.091971
2024-06-03T01:21:54.044968Z,10.0.0.69,157.240.0.83,42892,8443,TCP,9272,10818508,114.513611
2024-06-03T01:29:42.131008Z,10.0.0.50,157.240.0.45,33150,443,TCP,4724,5141556,271.018122
2024-06-03T05:33:16.137748Z,10.0.0.95,91.189.0.14,31754,443,TCP,1669,903996,608.061114
2024-06-03T00:34:17.130848Z,10.0.0.67,198.41.0.149,44800,8443,TCP,16336,12398795,34.2661
2024-06-03T00:39:57.372674Z,10.0.0.17,140.82.0.96,43583,443,TCP,3572,5038092,37.030833
2024-06-03T04:03:42.350412Z,10.0.0.74,8.8.8.195,64556,8443,TCP,4892,5598855,37.922894
2024-06-03T05:14:07.340994Z,10.0.0.20,13.107.0.47,58826,8443,TCP,12585,8439826,32.281135
